zip,city,state,latitude,longitude
39483,FOXWORTH,MS,31.208476395,-89.91801791
39501,GULFPORT,MS,30.380976112,-89.09945238
39503,GULFPORT,MS,30.465389889,-89.09898459
39507,GULFPORT,MS,30.397034952,-89.03094693
39520,BAY SAINT LOUIS,MS,30.30711729,-89.38074931
39525,DIAMONDHEAD,MS,30.391377953,-89.36269762
39530,BILOXI,MS,30.401022814,-88.89547555
39531,BILOXI,MS,30.40173055,-88.96823997
39532,BILOXI,MS,30.459188064,-88.93577518
39540,DIBERVILLE,MS,30.45986787,-88.90284016
39553,GAUTIER,MS,30.406187516,-88.64477363
39556,KILN,MS,30.459117676,-89.41021744
39560,LONG BEACH,MS,30.358921553,-89.16693545
39561,MC HENRY,MS,30.707560457,-89.14408217
39562,MOSS POINT,MS,30.552280164,-88.50710024
39563,MOSS POINT,MS,30.40689744,-88.52870849
39564,OCEAN SPRINGS,MS,30.405533785,-88.77937344
39565,VANCLEAVE,MS,30.533418901,-88.75633978
39567,PASCAGOULA,MS,30.361488203,-88.54424467
39571,PASS CHRISTIAN,MS,30.37762643,-89.2625986
39572,PEARLINGTON,MS,30.251153457,-89.60379224
39573,PERKINSTON,MS,30.714933661,-89.18863011
39574,SAUCIER,MS,30.589210103,-89.14074999
39576,WAVELAND,MS,30.293466997,-89.38309545
39577,WIGGINS,MS,30.874293437,-89.13376955
39581,PASCAGOULA,MS,30.367042972,-88.52085476
39601,BROOKHAVEN,MS,31.574100026,-90.45826822
39629,BOGUE CHITTO,MS,31.450288305,-90.46711261
39630,BUDE,MS,31.467455454,-90.85127918
39631,CENTREVILLE,MS,31.075828998,-91.07901584
39633,CROSBY,MS,31.282191497,-91.14287473
39638,GLOSTER,MS,31.213552505,-90.97762238
39641,JAYESS,MS,31.350624233,-90.19075511
39643,KOKOMO,MS,31.232390088,-90.00049159
39645,LIBERTY,MS,31.164804568,-90.7977986
39647,MC CALL CREEK,MS,31.489986091,-90.70150009
39648,MCCOMB,MS,31.22784384,-90.44005995
39652,MAGNOLIA,MS,31.119912076,-90.44787896
39653,MEADVILLE,MS,31.449057226,-90.85916967
39654,MONTICELLO,MS,31.554462844,-90.14235897
39656,OAK VALE,MS,31.459227844,-89.92997529
39657,OSYKA,MS,31.026322946,-90.45648755
39661,ROXIE,MS,31.510211704,-91.07472358
39662,RUTH,MS,31.391415422,-90.29645392
39663,SILVER CREEK,MS,31.583512072,-90.01359313
39664,SMITHDALE,MS,31.332702195,-90.67815061
39665,SONTAG,MS,31.641409742,-90.21918547
39666,SUMMIT,MS,31.293676715,-90.47716594
39667,TYLERTOWN,MS,31.137403155,-90.13916582
39668,UNION CHURCH,MS,31.687685439,-90.76096384
39669,WOODVILLE,MS,31.134715235,-91.34887766
39701,COLUMBUS,MS,33.48781466,-88.43822132
39702,COLUMBUS,MS,33.477273838,-88.3500447
39705,COLUMBUS,MS,33.568684922,-88.4245147
39730,ABERDEEN,MS,33.854628772,-88.55639053
39735,ACKERMAN,MS,33.335756116,-89.18598176
39737,BELLEFONTAINE,MS,33.657445021,-89.32339285
39739,BROOKSVILLE,MS,33.235110716,-88.55166801
39740,CALEDONIA,MS,33.67982925,-88.32374822
39741,CEDARBLUFF,MS,33.63584538,-88.85163955
39743,CRAWFORD,MS,33.318053043,-88.62493794
39744,EUPORA,MS,33.559325809,-89.27797748
39745,FRENCH CAMP,MS,33.319629071,-89.43917321
39746,HAMILTON,MS,33.753451964,-88.41466035
39747,KILMICHAEL,MS,33.429348289,-89.57043036
39750,MABEN,MS,33.561799122,-89.06146217
39751,MANTEE,MS,33.701201108,-89.07071506
39752,MATHISTON,MS,33.536651823,-89.13768081
39755,PHEBA,MS,33.608399802,-88.95297228
39756,PRAIRIE,MS,33.772753556,-88.73978501
39759,STARKVILLE,MS,33.45054071,-88.81497245
39766,STEENS,MS,33.583160502,-88.32117041
39767,STEWART,MS,33.454936699,-89.4388748
39769,STURGIS,MS,33.331996232,-89.00768022
39771,WALTHALL,MS,33.607153609,-89.27905071
39772,WEIR,MS,33.291777335,-89.29948447
39773,WEST POINT,MS,33.60956172,-88.64331241
39776,WOODLAND,MS,33.78822325,-89.02443591
39813,ARLINGTON,GA,31.435222222,-84.70650006
39815,ATTAPULGUS,GA,30.748139196,-84.49340328
39817,BAINBRIDGE,GA,30.923403542,-84.5761135
39819,BAINBRIDGE,GA,30.862008697,-84.58684086
39823,BLAKELY,GA,31.349187969,-84.94032923
39824,BLUFFTON,GA,31.536306276,-84.8617126
39825,BRINSON,GA,30.93145337,-84.72046046
39826,BRONWOOD,GA,31.821995091,-84.35841607
39827,CAIRO,GA,30.942701158,-84.19712041
39828,CAIRO,GA,30.855849632,-84.20319851
39834,CLIMAX,GA,30.878927693,-84.42719685
39836,COLEMAN,GA,31.658815545,-84.87279685
39837,COLQUITT,GA,31.15648943,-84.70364706
39840,CUTHBERT,GA,31.765313547,-84.78077359
39841,DAMASCUS,GA,31.288624569,-84.68883031
39842,DAWSON,GA,31.765686994,-84.43118522
39845,DONALSONVILLE,GA,30.949876906,-84.87569511
39846,EDISON,GA,31.564844298,-84.74514588
